Price,Catergory,Model,Brand,Name,1,2,3,4
5790000,Nguồn Seasonic,,Seasonic,Seasonic X-1250XM2 Active PFC - 80Plus GOLD,1250,,,
2795000,Nguồn Seasonic,,Seasonic,Seasonic X-400FL Active PFC F3 - 80Plus GOLD No Fan,400,,,
3419000,Nguồn Seasonic,,Seasonic,Seasonic X-460FL Active PFC F3 - 80Plus GOLD No Fan,460,,,
2690000,Nguồn Seasonic,,Seasonic,Seasonic X-560KM Active PFC F3 - 80Plus GOLD Module,560,,,
3010000,Nguồn Seasonic,,Seasonic,Seasonic X-650KM3 Active PFC F3 - 80Plus GOLD Module,650,,,
3450000,Nguồn Seasonic,,Seasonic,Seasonic X-750KM3 Active PFC F3 - 80Plus Gold Module,750,,,
2666000,Nguồn Seasonic,,Seasonic,Seasonic G-650 (650RM) 80Plus Gold,650,,,
2900000,Nguồn Seasonic,,Seasonic,Seasonic G-750 SSR-750RM 750W - 750w 80Plus Gold,750,,,
1800000,Nguồn Seasonic,,Seasonic,Seasonic M12II 520w Evo Active PFC - 80Plus Bronze,520,,,
2100000,Nguồn Seasonic,,Seasonic,Seasonic M12II 620w Evo Active PFC - 80Plus Bronze,620,,,
2600000,Nguồn Seasonic,,Seasonic,Seasonic M12II 750 Evo Active PFC - 80Plus Bronze,750,,,
2950000,Nguồn Seasonic,,Seasonic,Seasonic M12II 850 Evo Active PFC - 80Plus Bronze,850,,,
3666000,Nguồn Seasonic,,Seasonic,Seasonic P-660 (660XP) 80Plus Platinum,660,,,
4166000,Nguồn Seasonic,,Seasonic,Seasonic P-760 (760XP) 80Plus Platinum,760,,,
4888000,Nguồn Seasonic,,Seasonic,Seasonic P-860 (860XP) 80Plus Platinum,860,,,
6266000,Nguồn Seasonic,,Seasonic,Seasonic Snow Silent 1050 80Plus Platinum,1050,,,
4666000,Nguồn Seasonic,,Seasonic,Seasonic Snow Silent 750 80Plus Platinum,750,,,
4850000,Nguồn Corsair,,Corsair,Corsair RM1000i 1000w 1000W Modular 80 PLUS Gold,1000,,,
2289000,Nguồn Corsair,,Corsair, Corsair CX Series CX750M 80 Plus Bronze Modular,750,,,
10900000,Nguồn Corsair,,Corsair,Corsair AX1500i,500,,,
2490000,Nguồn Corsair,,Corsair,Corsair CS750M - 80 PLUS Gold PSU Modular ,750,,,
830000,Nguồn Corsair,,Corsair,Corsair VS 400W 80 Plus White,400,,,
789000,Nguồn Corsair,,Corsair,Corsair VS450,450,,,
990000,Nguồn Corsair,,Corsair,Corsair VS550,550,,,
1380000,Nguồn Corsair,,Corsair,Corsair VS650,650,,,
4690000,Nguồn Corsair,,Corsair,RMx Series RM1000x Gold Certified,1000,,,
3099000,Nguồn Corsair,,Corsair,RMx Series RM650x Gold Certified,650,,,
