Price,Catergory,Brand,Name,Type,Code,GB,Watt
19890000,VGA,MSI,MSI GTX 980 Ti LIGHTNING - nVidia Geforce GTX 980 Ti Chipset,NVIDIA,980 Ti,6,800
19890000,VGA,MSI,MSI GTX 980 Ti LIGHTNING - nVidia Geforce GTX 980 Ti Chipset,NVIDIA,980 Ti,6,800
19990000,VGA,Quadro,NVIDIA Quadro NVS 810 DP NVIDIA Pro Graphics Card 4GB,Quadro,NVS 810,4,400
20890000,VGA,Gigabyte,Gigabyte GTX 1080 Xtreme Gaming Premium Pack 8GB (GV-N1080 XTREME-8GD-PP),NVIDIA,1080,8,800
20890000,VGA,Gigabyte,Gigabyte GTX 1080 Xtreme Gaming Premium Pack 8GB (GV-N1080 XTREME-8GD-PP),NVIDIA,1080,8,800
21690000,VGA,MSI,MSI 1080 SEA HAWK EK X,AMD,1080,8,250
21690000,VGA,MSI,MSI GTX 1080 SEA HAWK EK X,NVIDIA,1080,8,800
21990000,VGA,Quadro,NVIDIA Quadro K4000 3GB GDDR5 192Bit,Quadro,K4000,3,600
23500000,VGA,Gigabyte,Gigabyte GTX 1080 Xtreme Gaming WATERFORCE 8G (GV-N1080 XTREME W-8GD),NVIDIA,1080,8,800
23500000,VGA,Gigabyte,Gigabyte GTX 1080 Xtreme Gaming WATERFORCE 8G (GV-N1080 XTREME W-8GD),NVIDIA,1080,8,800
24390000,VGA,MSI,MSI TITAN 6GD5,NVIDIA,TITAN,6,800
24790000,VGA,Quadro,nVidia Quadro M4000 8GB GDDR5 256bit,Quadro,M4000,8,600
24900000,VGA,Asus,ASUS GTX TITAN-6GD5,NVIDIA,TITAN,6,800
24900000,VGA,Asus,ASUS GTX TITAN-6GD5,NVIDIA,TITAN,6,800
25575000,VGA,Gigabyte,Gigabyte GV-N TITANBLKD5-6GD-B,NVIDIA,TITAN Black,6,800
25599000,VGA,Asus,ASUS GTX TITANBLACK-6GD5 (384bits),NVIDIA,TITAN Black,6,800
25599000,VGA,Asus,ASUS GTX TITANBLACK-6GD5 (384bits),NVIDIA,TITAN Black,6,800
26660000,VGA,MSI,TITAN X 12GD5,NVIDIA,TITAN X,12,800
26660000,VGA,MSI,TITAN X 12GD5,NVIDIA,TITAN X ,12,800
