Price,Catergory,Brand,Name,1,2,3,4
480000,Case,SAMA,SAMA E-Sport F2 White - Black,,,,
1890000,Case,SAMA,SAMA FALCON ( Modded ) - DANGER PC,,,,
1050000,Case,SAMA,SAMA FALCON (Black),,,,
1050000,Case,SAMA,SAMA FALCON (White),,,,
1049000,Case,SAMA,SAMA FALCON F Black,,,,
1090000,Case,SAMA,SAMA FALCON F White,,,,
310000,Case,SAMA,SAMA hero 1,,,,
1050000,Case,SAMA,SAMA InPower,,,,
479000,Case,SAMA,Sama JAVAN,,,,
479000,Case,SAMA,SAMA Javan Red,,,,
1050000,Case,SAMA,SAMA JAX 06 White,,,,
450000,Case,SAMA,SAMA MD01 WHITE / BLACK - Mid Tower PC Chassic Case,,,,
450000,Case,SAMA,SAMA Mustang RTX Black Mini HTPC - Micro ATX / Mini ITX,,,,
450000,Case,SAMA,SAMA Mustang RTX WHITE Mini HTPC - Micro ATX / Mini ITX,,,,
295000,Case,SAMA,SAMA P51 - ATX / Micro ATX / Mini ITX,,,,
650000,Case,SAMA,SAMA R6 Black n White - ATX / Micro ATX / Mini ITX,,,,
1190000,Case,SAMA,SAMA SHADOW I04 - ATX / Micro ATX / Mini ITX,,,,
1190000,Case,SAMA,SAMA SILENT ( CỰC ÊM - Không ồn ) - ATX / mATX / iTX Support,,,,
1190000,Case,SAMA,"SAMA Volcano - Support WaterCooling , ATX / mATX / mITX support",,,,
799000,Case,SAMA,SAMA‬ JAX,,,,
0,Case,SAMA,SAMA‬ The ARK,,,,
1350000,Case,SAMA,SAMA‬ TITAN BLACK,,,,
1350000,Case,SAMA,SAMA‬ TITAN White,,,,
3600000,Case,Thermaltake,Thermaltake ARMOR REVO GENE (VO800M1W2N),,,,
2050000,Case,Thermaltake,Thermaltake Chaser A31 (VP300A1W2N),,,,
3400000,Case,Thermaltake,Thermaltake Chaser A71 (VP400M1W2N),,,,
1680000,Case,Thermaltake,Thermaltake Commander G42,,,,
3300000,Case,Thermaltake,Thermaltake Core P3,,,,
3450000,Case,Thermaltake,Thermaltake Core P3 SNOW SWHITE,,,,
4400000,Case,Thermaltake,Thermaltake Core P5 Open Air,,,,
3650000,Case,Thermaltake,Thermaltake Core V71,,,,
1180000,Case,Thermaltake,Thermaltake Mini Chassis - Core V1 (HTPC),,,,
3400000,Case,Thermaltake,Thermaltake Overseer RX-I (VN700M1W2N),,,,
2950000,Case,Thermaltake,Thermaltake Supressor F51 Window E-ATX,,,,
2200000,Case,Thermaltake,Thermaltake Urban S31,,,,
3500000,Case,Thermaltake,Thermaltake Urban S71,,,,
4300000,Case,Thermaltake,Thermaltake URBAN T81,,,,
950000,Case,Thermaltake,Thermaltake Versa G2,,,,
799000,Case,Thermaltake,Thermaltake Versa H21,,,,
799000,Case,Thermaltake,Thermaltake Versa H22,,,,
899000,Case,Thermaltake,Thermaltake Versa H23,,,,
899000,Case,Thermaltake,Thermaltake Versa H25,,,,
2350000,Case,Thermaltake,Thermaltake View 27 white,,,,
1250000,Case,Vitra,VITRA Ares Full Tower FT14 USB3.0,,,,
690000,Case,Vitra,VITRA Ares G1 USB3.0,,,,
730000,Case,Vitra,VITRA ARES G2,,,,
630000,Case,Vitra,VITRA Ares K646 USB3.0,,,,
630000,Case,Vitra,VITRA Ares K767 USB3.0,,,,
440000,Case,Vitra,VITRA S2,,,,
450000,Case,Vitra,VITRA S5,,,,
899000,Case,Vitra,VITRA SPAKTA T30,,,,
2990000,Case,NZXT,NZXT H440 Black - Blue,,,,
330000,Case,Orient,Orient 5822B,,,,
1000000,Case,SAMA,SAMA AURORA BLACK glass,,,,
330000,Case,Segotep,Segotep AP911,,,,
675000,Case,Segotep,Segotep Chariot TF,,,,
2990000,Case,Segotep,Segotep Eagle Desert 1,,,,
3490000,Case,Segotep,Segotep Eagle Desert 1 Modded,,,,
