Price,Catergory,Brand,Name,Chipset,Socket,DDR type,M2
8500000,Mainboard Intel,Gigabyte,Gigabyte GA B85M-HD3,B85,1150,DDR3,
3350000,Mainboard Intel,Gigabyte,Gigabyte GA G1.Assassin 2 X79,X79,2011,DDR3,
5390000,Mainboard Intel,Gigabyte,Gigabyte GA G1.Sniper 3 Z77,Z77,1155,DDR3,
4590000,Mainboard Intel,Gigabyte,Gigabyte GA G1.Sniper 5 Z87,Z87,1150,DDR3,
3650000,Mainboard Intel,Gigabyte,Gigabyte GA G1.Sniper M3 Z77,Z77,1155,DDR3,
12450000,Mainboard Intel,Gigabyte,Gigabyte GA H110M DS2 DDR3,H110,1151,DDR4,
890000,Mainboard Intel,Gigabyte,Gigabyte GA H170 Gaming 3 DDR3,H170,1151,DDR4,
1279000,Mainboard Intel,Gigabyte,Gigabyte GA H170 Gaming 3 DDR4,H170,1151,DDR4,
1149000,Mainboard Intel,Gigabyte,Gigabyte GA H61M-DS2 DVI ,H61,1155,DDR3,
1869000,Mainboard Intel,Gigabyte,Gigabyte GA H61M-DS2 rev 3.0,H61,1155,DDR3,
1790000,Mainboard Intel,Gigabyte,Gigabyte GA H61M-DS2 rev 5.0,H61,1155,DDR3,
1750000,Mainboard Intel,Gigabyte,Gigabyte GA H61M-S2PV,H61,1155,DDR3,
1980000,Mainboard Intel,Gigabyte,Gigabyte GA H77-DS3H,H77,1155,DDR3,
0,Mainboard Intel,Gigabyte,Gigabyte GA H77M-D3H ,H77,1155,DDR3,
0,Mainboard Intel,Gigabyte,Gigabyte GA H81M-DS2,H81,1150,DDR3,
0,Mainboard Intel,Gigabyte,Gigabyte GA H81M-Gaming 3,H81,1150,DDR3,
0,Mainboard Intel,Gigabyte,Gigabyte GA H81M-S2PV,H81,1150,DDR3,
1690000,Mainboard Intel,Gigabyte,Gigabyte GA H87M-D3H ,H87,1150,DDR3,
1950000,Mainboard Intel,Gigabyte,Gigabyte GA H97-D3H,H97,1150,DDR3,
1990000,Mainboard Intel,Gigabyte,Gigabyte GA H97-Gaming 3,H97,1150,DDR3,
1825000,Mainboard Intel,Gigabyte,Gigabyte GA P61A-D3,P61,1155,DDR3,
0,Mainboard Intel,Gigabyte,Gigabyte GA P75-D3,P75,1155,DDR3,
0,Mainboard Intel,Gigabyte,Gigabyte GA X79-UD3,X79,2011,DDR3,
0,Mainboard Intel,Gigabyte,Gigabyte GA X79-UP4,X79,2011,DDR3,
0,Mainboard Intel,Gigabyte,Gigabyte GA Z170 D3H,Z170,1151,DDR4,
1680000,Mainboard Intel,Gigabyte,Gigabyte GA Z170M D3H DDR3,Z170,1151,DDR4,
3410000,Mainboard Intel,Gigabyte,Gigabyte GA Z170M D3H DDR4,Z170,1151,DDR4,
3580000,Mainboard Intel,Gigabyte,Gigabyte GA Z170X Gaming 3,Z170,1151,DDR4,
0,Mainboard Intel,Gigabyte,Gigabyte GA Z170X Gaming 5,Z170,1151,DDR4,
1419000,Mainboard Intel,Gigabyte,Gigabyte GA Z170X Gaming 7,Z170,1151,DDR4,
1495000,Mainboard Intel,Gigabyte,Gigabyte GA Z170X Gaming G1,Z170,1151,DDR4,
1390000,Mainboard Intel,Gigabyte,Gigabyte GA Z170X Gaming GT,Z170,1151,DDR4,
0,Mainboard Intel,Gigabyte,Gigabyte GA Z170X SOC FORCE,Z170,1151,DDR4,
2499000,Mainboard Intel,Gigabyte,Gigabyte GA Z170X UD3,Z170,1151,DDR4,
1490000,Mainboard Intel,Gigabyte,Gigabyte GA Z170X UD5,Z170,1151,DDR4,
1760000,Mainboard Intel,Gigabyte,Gigabyte GA Z77M-D3H,Z77,1155,DDR3,
1590000,Mainboard Intel,Gigabyte,Gigabyte GA Z77X-D3H ,Z77,1155,DDR3,
0,Mainboard Intel,Gigabyte,Gigabyte GA Z77X-UD3H,Z77,1155,DDR3,
3170000,Mainboard Intel,Gigabyte,Gigabyte GA Z77X-UD5H,Z77,1155,DDR3,
3490000,Mainboard Intel,Gigabyte,Gigabyte GA Z77X-UP5 TH,Z77,1155,DDR3,
0,Mainboard Intel,Gigabyte,Gigabyte GA Z87M-D3H,Z87,1150,DDR3,
0,Mainboard Intel,Gigabyte,Gigabyte GA Z87X-D3H,Z87,1150,DDR3,
0,Mainboard Intel,Gigabyte,Gigabyte GA Z87X-OC,Z87,1150,DDR3,
5999000,Mainboard Intel,Gigabyte,Gigabyte GA Z87X-OC Force,Z87,1150,DDR3,
8990000,Mainboard Intel,Gigabyte,Gigabyte GA Z87X-UD3H,Z87,1150,DDR3,
8990000,Mainboard Intel,Gigabyte,Gigabyte GA Z87X-UD5H,Z87,1150,DDR3,
4090000,Mainboard Intel,Gigabyte,Gigabyte GA Z97-D3H,Z97,1150,DDR3,
3540000,Mainboard Intel,Gigabyte,Gigabyte GA Z97M-D3H,Z97,1150,DDR3,
3650000,Mainboard Intel,Gigabyte,Gigabyte GA Z97X-Gaming 3,Z97,1150,DDR3,
4490000,Mainboard Intel,Gigabyte,Gigabyte GA Z97X-GAMING 5,Z97,1150,DDR3,
5250000,Mainboard Intel,Gigabyte,Gigabyte GA Z97X-Gaming 7,Z97,1150,DDR3,
6250000,Mainboard Intel,Gigabyte,Gigabyte GA Z97X-Gaming G1,Z97,1150,DDR3,
13500000,Mainboard Intel,Gigabyte,Gigabyte GA Z97X-GAMING G1 WIFi-BK (Gaming Black Edition),Z97,1150,DDR3,
6990000,Mainboard Intel,Gigabyte,Gigabyte GA Z97X-SOC Force (dòng sản phẩm chuyên ép xung),Z97,1150,DDR3,
10890000,Mainboard Intel,Gigabyte,Gigabyte GA Z97X-UD3H-BK,Z97,1150,DDR3,
4650000,Mainboard Intel,Gigabyte,Gigabyte GA Z97X-UD5H-BK,Z97,1150,DDR3,
5550000,Mainboard Intel,Gigabyte,Gigabyte GA-B150-HD3,B150,1151,DDR4,
0,Mainboard Intel,Gigabyte,Gigabyte GA-B150M-D2V,B150,1151,DDR4,
0,Mainboard Intel,Gigabyte,Gigabyte GA-B150M-D3H DDR3,B150,1151,DDR4,
0,Mainboard Intel,Gigabyte,Gigabyte GA-B150M-D3H DDR4,B150,1151,DDR4,
0,Mainboard Intel,Gigabyte,Gigabyte GA-B150M-D3V DDR3,B150,1151,DDR4,
0,Mainboard Intel,Gigabyte,Gigabyte GA-B150M-D3V-DDR4,B150,1151,DDR4,
0,Mainboard Intel,Gigabyte,Gigabyte GA-B150M-HD3 DDR3 - Intel B150 chipset - Socket 1151,B150,1151,DDR4,
4459000,Mainboard Intel,Gigabyte,Gigabyte GA-B85M-D2V,B85,1150,DDR3,
0,Mainboard Intel,Gigabyte,Gigabyte GA-H110M-DS2-DDR4,H110,1151,DDR4,
5990000,Mainboard Intel,Gigabyte,Gigabyte GA-H110M-S2PV DDR3,H110,1151,DDR4,
0,Mainboard Intel,Gigabyte,Gigabyte GA-H110M-S2PV-DDR4,H110,1151,DDR4,
0,Mainboard Intel,Gigabyte,Gigabyte GA-H170N-WIFI,H170,1151,DDR4,
4060000,Mainboard Intel,Gigabyte,Gigabyte GA-H97M-D3H,H97,1150,DDR3,
3470000,Mainboard Intel,Gigabyte,Gigabyte GA-P81-D3,P81,1150,DDR3,
4190000,Mainboard Intel,Gigabyte,Gigabyte GA-Z170N-Gaming 5,Z170,1151,DDR4,
4640000,Mainboard Intel,Gigabyte,Gigabyte H110M - Gaming 3,H110,1151,DDR4,
5210000,Mainboard Intel,Gigabyte,Gigabyte Z170X Ultra Gaming,Z170,1151,DDR4,
9030000,Mainboard Intel,Gigabyte,Gigabyte Z270X Gaming 5 (GA-Z270X-Gaming 5),Z270,1151,DDR4,
10540000,Mainboard Intel,Gigabyte,Gigabyte Z270X Gaming 7 (GA-Z270X-Gaming 7),Z270,1151,DDR4,
6490000,Mainboard Intel,Gigabyte,Gigabyte Z270X Gaming 9 (GA-Z270X-Gaming 9),Z270,1151,DDR4,
4650000,Mainboard Intel,Gigabyte,Gigabyte Z270X Ultra Gaming (GA-Z270X-Ultra Gaming),Z270,1151,DDR4,
5530000,Mainboard Intel,Gigabyte,Gigabyte GA H170 D3H DDR4,H170,1151,DDR4,
2650000,Mainboard Intel,Gigabyte,Gigabyte GA H170M D3H DDR3,H170,1151,DDR4,
2050000,Mainboard Intel,Gigabyte,Gigabyte GA H170M D3H DDR4,H170,1151,DDR4,
2699000,Mainboard Intel,MSI,MSI B150 GAMING M3,B150,1151,DDR4,
2450000,Mainboard Intel,MSI,MSI B150 PC MATE SK1151 DDR4,B150,1151,DDR4,
2150000,Mainboard Intel,MSI,MSI B150A GAMING PRO SK-1151 DDR4,B150,1151,DDR4,
2050000,Mainboard Intel,MSI,MSI B150M BAZOOKA,B150,1151,DDR4,
2650000,Mainboard Intel,MSI,MSI B150M BAZOOKA PLUS,B150,1151,DDR4,
1650000,Mainboard Intel,MSI,MSI B150M GAMING PRO,B150,1151,DDR4,
1699000,Mainboard Intel,MSI,MSI B150M MORTAR,B150,1151,DDR4,
1750000,Mainboard Intel,MSI,MSI B150M MORTAR ARCTIC,B150,1151,DDR4,
1750000,Mainboard Intel,MSI,MSI B150M NIGHT ELF SK-1151 DDR4,B150,1151,DDR4,
3490000,Mainboard Intel,MSI,MSI B150M PRO-VDH D3 SK-1151 DDR3,B150,1151,DDR4,
